guid,longitude,latitude,
CAA63B87-DA1E-488B-BD8B-C5E04FE06EC2,-86.167178,39.77143,
992E7ABA-2A6A-46E3-9145-367C4EBAC37A,-86.167221,39.769509,
1B94B303-98F3-4430-B538-D9F81131CC49,-86.170145,39.769406,
0111F9C4-E3F3-406F-8A36-01E44AE37CA8,-86.170091,39.771542,
9AB62103-3823-4B5B-BD5E-7C9959522DB1,-86.168688,39.770447,
C2A886EC-A687-49B9-8417-D80418D9F9FF,-86.17035,39.769044,
D348EE8C-3EAB-4A84-ADBD-A3CC15CEA20A,-86.167292,39.767492,
15A5607A-4283-42D2-ACA0-5ADED1EF6977,-86.169451,39.768391,
07DC82E5-B08C-41DC-AA3E-BA3E961CC4EA,-86.169462,39.769087,
9FDE7E47-289F-4763-B41B-92D6023BBB57,-86.168141,39.768225,
F51636D9-23FF-47BF-92E7-22EEC4FF6A77,-86.170528,39.768411,
ACA29BF9-D2F8-4479-91F9-D7BEFACF3F07,-86.170544,39.767483,
61AEF95A-20ED-4CEE-A138-942D580BFE46,-86.167451,39.766716,
5A9300C0-74BF-4C20-BD15-C9AC0E640C01,-86.168199,39.767007,
43006C5D-4AB3-414C-9228-0DE9CAFEE4F1,-86.168934,39.767143,
CD073B4C-DFAA-4B76-A6AF-989EE5A74D3A,-86.169208,39.766273,
C421E2D3-A8C1-4210-98D8-F3289999EF2C,-86.168197,39.765933,
751C3E69-90D2-4568-B8B9-50E048EC2A23,-86.168267,39.766356,
754A3DF2-6710-4767-A61E-A2E12C3C1C81,-86.16887,39.766558,
0A0D9954-BABD-4359-B9D6-BC53B1313602,-86.167341,39.765762,
03C6AA58-F5B2-4614-8680-064BDCE6A76D,-86.167352,39.764904,
B01A86E5-4E9A-4408-A8CA-79447B2E20D8,-86.167368,39.763692,
2C447E8B-9737-44A1-9CC5-D5380A0CAEF9,-86.169423,39.763865,
25F0AC88-6CC1-42DE-84FD-DC9BA7890519,-86.169119,39.765798,
0A7BE093-FD6B-428E-B021-539B3F2652C6,-86.167529,39.765618,
01C7E775-5F71-4B32-9A83-F0ABB92AA975,-86.169428,39.764987,
B97F72E0-FE4F-4C15-889B-1D3392F3C174,-86.169557,39.764455,
4A9206B6-0A7F-4385-BEB5-25FF3EA0A51D,-86.168935,39.764109,
4533F1DB-FA34-42D1-A193-B5B6F2350307,-86.166516,39.765701,
BD21ABE4-4B49-4E42-B7A9-485BC1963FDB,-86.165352,39.765717,
C73783DD-3325-41D8-BCB8-B16CEECEE009,-86.163968,39.765701,
9E5A56D5-0750-41E9-8226-30DD08EF94DE,-86.162037,39.765647,
78117E33-DB69-4E76-8953-9F73CBA0BFFA,-86.161973,39.764468,
CFEF3FD9-D97A-4437-AF8E-46E538484BB9,-86.162011,39.763161,
64B30ECB-13B7-48E0-838D-DBA5B268B290,-86.162032,39.761672,
016AFCCB-09B8-4B31-BFB2-23320479B144,-86.163904,39.761651,
2F40CDF7-168D-42CD-BB83-ED423000B2FA,-86.165449,39.761705,
B08A6324-6294-4590-BF8F-1BB5ADA623B8,-86.16679,39.764167,
CF917C21-071D-447D-B78E-01CDA555B2BD,-86.16547,39.765925,
7052A7F8-5FFA-44FB-97FE-7D0D3205A895,-86.164483,39.765933,
960DA0D2-5F45-445F-8035-0934196EFF14,-86.163442,39.765921,
4E10B82C-8095-4FC8-B235-F2D54FAF4993,-86.161876,39.765851,
C3AAB609-D291-4562-B420-972714715B29,-86.161838,39.767034,
68BD176B-01EE-48D7-A5E3-1C1B32AF38BA,-86.162879,39.76658,
7402F681-1E5F-493A-92A9-42A40849833D,-86.162831,39.767083,
,,,
,,,
